date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:49	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-239b%22	https://skydaygames.github.io/robots.txt		(from )
17:23:49	6229/6229	---M-Z	200	added ('OK')	text/html	etag:W/%226314fece-1855%22	https://skydaygames.github.io/skygame.github.io/	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/index.html	(from )
17:23:49	245954/245954	---M--	200	added ('OK')	image/jpeg	etag:%2261382a33-3c0c2%22	https://cdn.akamai.steamstatic.com/steam/apps/1749400/ss_08867c4aaa8fb45d26dfa86842e2d3bfbbcbaee5.1920x1080.jpg?t=1657320762	C:/My%20Web%20Sites/lendas/cdn.akamai.steamstatic.com/steam/apps/1749400/ss_08867c4aaa8fb45d26dfa86842e2d3bfbbcbaee5.1920x1080ae5a.jpg	(from https://skydaygames.github.io/skygame.github.io/)
17:23:49	3017/3017	---M-Z	200	added ('OK')	text/css	etag:W/%226314fece-bc9%22	https://skydaygames.github.io/skygame.github.io/rawline.css	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/rawline.css	(from https://skydaygames.github.io/skygame.github.io/)
17:23:49	10566/10566	---M--	200	added ('OK')	application/octet-stream	etag:%226314fece-2946%22	https://skydaygames.github.io/skygame.github.io/css2	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/css2	(from https://skydaygames.github.io/skygame.github.io/)
17:23:50	33441/33441	---M--	200	added ('OK')	application/octet-stream	etag:%226314fece-82a1%22	https://skydaygames.github.io/skygame.github.io/css2(1)	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/css2(1)	(from https://skydaygames.github.io/skygame.github.io/)
17:23:50	82020/82020	---M-Z	200	added ('OK')	text/css	etag:W/%226314fece-14064%22	https://skydaygames.github.io/skygame.github.io/all.min.css	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/all.min.css	(from https://skydaygames.github.io/skygame.github.io/)
17:23:50	808/808	---M-Z	200	added ('OK')	text/html	etag:W/%226314fece-328%22	https://skydaygames.github.io/skygame.github.io/reset.html	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/reset.html	(from https://skydaygames.github.io/skygame.github.io/)
17:23:50	15455/15455	---M-Z	200	added ('OK')	text/css	etag:W/%226314fece-3c5f%22	https://skydaygames.github.io/skygame.github.io/index.css	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/index.css	(from https://skydaygames.github.io/skygame.github.io/)
17:23:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22642cb322-247b%22	https://skydaygames.github.io/skygame.github.io/';	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/';	(from https://skydaygames.github.io/skygame.github.io/)
17:23:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22642cb322-247b%22	https://skydaygames.github.io/skygame.github.io/'https://cdn.akamai.steamstatic.com/steam/apps/1749400/ss_ba169a2288cd48d1ede8b8da4aab3b57064505fc.1920x1080.jpg?t=1657320762?t=1618944453'	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/'https_/cdn.akamai.steamstatic.com/steam/apps/1749400/ss_ba169a2288cd48d1ede8b8da4aab3b57064505fc.1920x10803b4e.jpg	(from https://skydaygames.github.io/skygame.github.io/)
17:23:51	182744/182744	---M--	200	added ('OK')	image/jpeg	etag:%2261382a33-2c9d8%22	https://cdn.akamai.steamstatic.com/steam/apps/1749400/ss_e6b0f75a76c2b61e944b6294b36fddcf231b02df.1920x1080.jpg?t=1657320762?t=1618944453	C:/My%20Web%20Sites/lendas/cdn.akamai.steamstatic.com/steam/apps/1749400/ss_e6b0f75a76c2b61e944b6294b36fddcf231b02df.1920x1080e900.jpg	(from https://skydaygames.github.io/skygame.github.io/)
17:23:51	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-239b%22	https://skydaygames.github.io/error_docs/styles.css	C:/My%20Web%20Sites/lendas/skydaygames.github.io/error_docs/styles.css	(from https://skydaygames.github.io/skygame.github.io/reset.html)
17:23:52	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-24a3%22	https://skydaygames.github.io/skygame.github.io/asd%20asd	C:/My%20Web%20Sites/lendas/skydaygames.github.io/skygame.github.io/asd%20asd	(from https://skydaygames.github.io/skygame.github.io/index.css)
17:23:52	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-239b%22	https://skydaygames.github.io/s.cdpn.io/1231630/clouds_repeat.png	C:/My%20Web%20Sites/lendas/skydaygames.github.io/s.cdpn.io/1231630/clouds_repeat.png	(from https://skydaygames.github.io/skygame.github.io/index.css)
